,food_class1
975,생선튀김류
976,탕수류
977,튀김류
978,튀김류
979,튀김류
980,생선튀김류
981,튀각류
982,튀김류
983,튀김류
984,생선튀김류
985,튀김류
986,튀김류
987,강정류
988,탕수류
989,생선튀김류
990,튀김류
991,생선튀김류
992,생선튀김류
993,강정류
994,강정류
995,튀김류
996,탕수류
997,튀김류
998,튀김류
999,비프까스
1000,탕수류
1001,튀김류
1002,튀김류
1003,일반빵류
1004,튀김류
1005,튀김류
1006,튀김류
1007,튀김류
1008,탕수류
1009,생선튀김류
1010,생선튀김류
1011,튀김류
1012,생선튀김류
1013,튀김류
1014,탕수류
1015,나물류
1016,나물류
1017,나물류
1018,나물류
1019,나물류
1020,나물류
1021,나물류
1022,나물류
1023,나물류
1024,나물류
1025,나물류
1026,나물류
1027,무침류
1028,나물류
1029,나물류
1030,나물류
1031,나물류
1032,나물류
1033,나물류
1034,나물류
1035,나물류
1036,나물류
1037,나물류
1038,해산물무침류
1039,무침류
1040,무침류
1041,샐러드류
1042,무침류
1043,나물류
1044,무침류
1045,무침류
1046,나물류
1047,무침류
1048,해산물무침류
1049,샐러드류
1050,겨자채
1051,샐러드류
1052,샐러드류
1053,샐러드류
1054,무침류
1055,튀김류
1056,무침류
1057,무침류
1058,샐러드류
1059,무침류
1060,샐러드류
1061,해산물무침류
1062,오이무침류
1063,해산물무침류
1064,무침류
1065,무침류
1066,무침류
1067,무침류
1068,무침류
1069,무침류
1070,샐러드류
1071,해산물무침류
1072,해산물무침류
1073,무침류
1074,오이무침류
1075,양념 도토리묵
1076,무침류
1077,샐러드류
1078,무침류
1079,샐러드류
1080,오이무침류
1081,생채류
1082,무침류
1083,오이무침류
1084,샐러드류
1085,무침류
1086,해산물무침류
1087,무침류
1088,나물류
1089,샐러드류
1090,무침류
1091,무침류
1092,무침류
1093,무침류
1094,해산물무침류
1095,샐러드류
1096,해산물무침류
1097,김치류
1098,김치류
1099,김치류
1100,물김치류
1101,젓류
1102,젓류
1103,젓류
1104,장아찌류
1105,장아찌류
1106,기타
1107,고춧가루 양념장
1108,기타
1109,기타
1110,기타
1111,팥빙수
1112,음료류
1113,음료류
1114,음료류
1115,음료류
1116,음료류
1117,음료류
1118,음료류
1119,음료류
1120,음료류
1121,음료류
1122,음료류
1123,감자범벅
1124,나물류
1125,회류
1126,일반밥류
1127,일반밥류
1128,일반밥류
1129,일반밥류
1130,일반밥류
1131,만두류
1132,스프류
1133,죽류
1134,죽류
1135,죽류
1136,죽류
1137,국류
1138,국류
1139,국류
1140,국류
1141,국류
1142,국류
1143,국류
1144,국류
1145,국류
1146,국류
1147,국류
1148,국류
1149,국류
1150,국류
1151,국류
1152,찌개류
1153,찌개류
1154,찌개류
1155,찌개류
1156,소고기 떡찜
1157,소고기찜류
1158,수육족발류
1159,삼치 양념구이
1160,삼치 카레구이
1161,전류
1162,전류
1163,전류
1164,전류
1165,채소볶음류
1166,채소볶음류
1167,잡채류
1168,잡채류
1169,해물볶음류
1170,기타볶음류
1171,기타볶음류
1172,조림류
1173,조림류
1174,조림류
1175,생선조림류
1176,생선튀김류
1177,튀김류
1178,튀김류
1179,생선튀김류
1180,강정류
1181,나물류
1182,나물류
1183,해산물무침류
1184,무침류
1185,샐러드류
1186,무침류
1187,무침류
1188,무침류
1189,샐러드류
1190,샐러드류
1191,무침류
1192,해산물무침류
1193,기타
1194,일반밥류
1195,핫케이크
1196,국류
1197,찌개류
1198,매운탕류
1199,갈비류
1200,매운탕류
1201,돼지고기찜류
1202,생선구이류
1203,달걀부침류
1204,장조림류
1205,조림류
1206,기타조림류
1207,조림류
1208,생선튀김류
1209,나물류
1210,나물류
1211,오이무침류
1212,김치류
1213,장아찌류
1214,일반밥류
1215,스파게티류
1216,국류
1217,국류
1218,국류
1219,국류
1220,국류
1221,국류
1222,국류
1223,국류
1224,생선찜류
1225,불고기류
1226,채소볶음류
1227,조림류
1228,튀김류
1229,무침류
1230,무침류
1231,해산물무침류
1232,무침류
1233,장아찌류
